,,,,
,,,,
,,,,
Date,MSCI ACWI IMI Future Education Index,,,
2020-04-30,1349.710317,,,
2020-05-29,1427.807244,,,
2020-06-30,1553.449744,,,
2020-07-31,1689.649282,,,
2020-08-31,1721.343947,,,
2020-09-30,1740.778779,,,
2020-10-30,1693.914209,,,
2020-11-30,1865.992668,,,
2020-12-31,1971.187475,,,
2021-01-29,2074.043226,,,
2021-02-26,2130.753087,,,
2021-03-31,1963.536543,,,
2021-04-30,2065.941354,,,
2021-05-31,1957.799814,,,
2021-06-30,1969.767517,,,
2021-07-30,1826.002784,,,
2021-08-31,1823.628501,,,
2021-09-30,1725.117577,,,
2021-10-29,1787.750453,,,
2021-11-30,1780.335313,,,
2021-12-31,1787.826999,,,
2022-01-31,1573.88966,,,
2022-02-28,1545.520498,,,
2022-03-31,1536.897979,,,
2022-04-29,1366.051888,,,
2022-05-31,1358.254722,,,
2022-06-30,1242.694473,,,
2022-07-29,1355.334465,,,
2022-08-31,1277.748044,,,
2022-09-30,1139.410737,,,
2022-10-31,1171.12893,,,
2022-11-30,1282.938601,,,
2022-12-30,1243.828674,,,
2023-01-31,1389.265623,,,
2023-02-28,1322.155719,,,
2023-03-31,1350.185224,,,
2023-04-28,1320.609741,,,
2023-05-31,1363.713359,,,
2023-06-30,1425.86419,,,
2023-07-31,1621.669923,,,
2023-08-31,1541.22721,,,
2023-09-29,1517.345856,,,
2023-10-31,1510.712995,,,
2023-11-30,1698.505955,,,
2023-12-29,1761.259323,,,
2024-01-31,1705.676455,,,
2024-02-29,1808.692185,,,
2024-03-29,1725.953868,,,
2024-04-30,1641.923308,,,
2024-05-31,1628.997763,,,
2024-06-28,1672.805663,,,
2024-07-31,1698.42712,,,
2024-08-30,1701.411058,,,
2024-09-30,1777.144458,,,
2024-10-31,1782.570263,,,
2024-11-29,1977.085792,,,
2024-12-31,1883.34659,,,
2025-01-31,1989.542247,,,
2025-02-28,1946.067093,,,
2025-03-31,1851.466471,,,